#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Oct 21 11:17:13 2022

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Controller_map.ncd
#OUTPUT FILE:      Controller_pad.csv
#PART TYPE:        xc6slx25t
#SPEED GRADE:      -3
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C8,,,GND,,,,,,,,,,,,
C9,,IPAD,MGTRXN1_101,UNUSED,,,,,,,,,,,
C10,,,MGTAVCC_101,,,,,,,,,,,,
C11,,IPAD,MGTREFCLK1P_101,UNUSED,,,,,,,,,,,
C12,,,GND,,,,,,,,,,,,
C13,,,NC,,,,,,,,,,,,
C14,,,GND,,,,,,,,,,,,
C15,,,NC,,,,,,,,,,,,
C16,,,GND,,,,,,,,,,,,
C17,,IOBM,IO_L50P_0,UNUSED,,0,,,,,,,,,
C18,,IOBS,IO_L66N_SCP0_0,UNUSED,,0,,,,,,,,,
C19,,IOBM,IO_L64P_SCP5_0,UNUSED,,0,,,,,,,,,
C20,alu_imm_B<14>,IOB,IO_L20P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
C21,,,VCCO_1,,,1,,,,,2.50,,,,
C22,alu_imm_B<11>,IOB,IO_L20N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
D1,,IOBS,IO_L59N_3,UNUSED,,3,,,,,,,,,
D2,,IOBM,IO_L59P_3,UNUSED,,3,,,,,,,,,
D3,,IOBS,IO_L1N_VREF_0,UNUSED,,0,,,,,,,,,
D4,,IOBM,IO_L2P_0,UNUSED,,0,,,,,,,,,
D5,,IOBS,IO_L2N_0,UNUSED,,0,,,,,,,,,
D6,,,GND,,,,,,,,,,,,
D7,,IPAD,MGTRXP0_101,UNUSED,,,,,,,,,,,
D8,,,MGTAVTTRX_101,,,,,,,,,,,,
D9,,IPAD,MGTRXP1_101,UNUSED,,,,,,,,,,,
D10,,,GND,,,,,,,,,,,,
D11,,IPAD,MGTREFCLK1N_101,UNUSED,,,,,,,,,,,
D12,,,MGTAVCCPLL1_101,,,,,,,,,,,,
D13,,,NC,,,,,,,,,,,,
D14,,,NC,,,,,,,,,,,,
D15,,,NC,,,,,,,,,,,,
D16,,,GND,,,,,,,,,,,,
D17,,IOBM,IO_L66P_SCP1_0,UNUSED,,0,,,,,,,,,
D18,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
D19,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
D20,,,TMS,,,,,,,,,,,,
D21,,,NC,,,,,,,,,,,,
D22,,,NC,,,,,,,,,,,,
E1,,IOBS,IO_L54N_M3A11_3,UNUSED,,3,,,,,,,,,
E2,,,GND,,,,,,,,,,,,
E3,,IOBM,IO_L54P_M3RESET_3,UNUSED,,3,,,,,,,,,
E4,,IOBS,IO_L60N_3,UNUSED,,3,,,,,,,,,
E5,,IOBM,IO_L4P_0,UNUSED,,0,,,,,,,,,
E6,,IOBS,IO_L4N_0,UNUSED,,0,,,,,,,,,
E7,,,GND,,,,,,,,,,,,
E8,,,MGTAVTTRCAL_101,,,,,,,,,,,,
E9,,,MGTRREF_101,,,,,,,,,,,,
E10,,,NC,,,,,,,,,,,,
E11,,,GND,,,,,,,,,,,,
E12,,,NC,,,,,,,,,,,,
E13,,,NC,,,,,,,,,,,,
E14,,,GND,,,,,,,,,,,,
E15,,,GND,,,,,,,,,,,,
E16,,IOBM,IO_L37P_GCLK13_0,UNUSED,,0,,,,,,,,,
E17,,,VCCO_0,,,0,,,,,any******,,,,
E18,,,TDI,,,,,,,,,,,,
E19,,,VCCO_1,,,1,,,,,2.50,,,,
E20,ins<7>,IOB,IO_L32P_A17_M1A8_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
E21,,,GND,,,,,,,,,,,,
E22,ins<4>,IOB,IO_L32N_A16_M1A9_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
F1,,IOBS,IO_L53N_M3A12_3,UNUSED,,3,,,,,,,,,
F2,,IOBM,IO_L53P_M3CKE_3,UNUSED,,3,,,,,,,,,
F3,,IOBM,IO_L60P_3,UNUSED,,3,,,,,,,,,
F4,,,VCCO_3,,,3,,,,,2.50,,,,
F5,,,NC,,,,,,,,,,,,
F6,,,VCCO_0,,,0,,,,,any******,,,,
F7,,IOBM,IO_L7P_0,UNUSED,,0,,,,,,,,,
F8,,IOBS,IO_L7N_0,UNUSED,,0,,,,,,,,,
F9,,IOBS,IO_L32N_0,UNUSED,,0,,,,,,,,,
F10,,IOBS,IO_L34N_GCLK18_0,UNUSED,,0,,,,,,,,,
F11,,,VCCAUX,,,,,,,,2.5,,,,
F12,,,NC,,,,,,,,,,,,
F13,,,GND,,,,,,,,,,,,
F14,,IOBM,IO_L36P_GCLK15_0,UNUSED,,0,,,,,,,,,
F15,,IOBS,IO_L36N_GCLK14_0,UNUSED,,0,,,,,,,,,
F16,,IOBS,IO_L37N_GCLK12_0,UNUSED,,0,,,,,,,,,
F17,,IOBS,IO_L51N_0,UNUSED,,0,,,,,,,,,
F18,pc_addr<15>,IOB,IO_L1P_A25_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F19,alu_imm_B<10>,IOB,IO_L1N_A24_VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F20,alu_imm_B<12>,IOB,IO_L29N_A22_M1A14_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F21,ins<5>,IOB,IO_L31P_A19_M1CKE_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
F22,ins<2>,IOB,IO_L31N_A18_M1A12_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
G1,,IOBS,IO_L52N_M3A9_3,UNUSED,,3,,,,,,,,,
G2,,,VCCO_3,,,3,,,,,2.50,,,,
G3,,IOBM,IO_L52P_M3A8_3,UNUSED,,3,,,,,,,,,
G4,,,NC,,,,,,,,,,,,
G5,,,GND,,,,,,,,,,,,
G6,,,NC,,,,,,,,,,,,
G7,,,NC,,,,,,,,,,,,
G8,,IOBM,IO_L32P_0,UNUSED,,0,,,,,,,,,
G9,,IOBM,IO_L34P_GCLK19_0,UNUSED,,0,,,,,,,,,
G10,,,VCCO_0,,,0,,,,,any******,,,,
G11,,IOBS,IO_L35N_GCLK16_0,UNUSED,,0,,,,,,,,,
G12,,,VCCAUX,,,,,,,,2.5,,,,
G13,,IOBS,IO_L38N_VREF_0,UNUSED,,0,,,,,,,,,
G14,,,VCCO_0,,,0,,,,,any******,,,,
G15,,IOBS,IO_L49N_0,UNUSED,,0,,,,,,,,,
G16,,IOBM,IO_L51P_0,UNUSED,,0,,,,,,,,,
G17,,,TDO,,,,,,,,,,,,
G18,,,GND,,,,,,,,,,,,
G19,ins<1>,IOB,IO_L29P_A23_M1A13_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
G20,ins<13>,IOB,IO_L35P_A11_M1A7_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
G21,,,VCCO_1,,,1,,,,,2.50,,,,
G22,ins<10>,IOB,IO_L35N_A10_M1A2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
H1,,IOBS,IO_L50N_M3BA2_3,UNUSED,,3,,,,,,,,,
H2,,IOBM,IO_L50P_M3WE_3,UNUSED,,3,,,,,,,,,
H3,,IOBS,IO_L51N_M3A4_3,UNUSED,,3,,,,,,,,,
H4,,,NC,,,,,,,,,,,,
H5,,IOBS,IO_L55N_M3A14_3,UNUSED,,3,,,,,,,,,
H6,,,NC,,,,,,,,,,,,
H7,,,GND,,,,,,,,,,,,
H8,,,NC,,,,,,,,,,,,
H9,,,VCCAUX,,,,,,,,2.5,,,,
H10,,IOBM,IO_L33P_0,UNUSED,,0,,,,,,,,,
H11,,IOBS,IO_L33N_0,UNUSED,,0,,,,,,,,,
H12,,IOBM,IO_L35P_GCLK17_0,UNUSED,,0,,,,,,,,,
H13,,IOBM,IO_L38P_0,UNUSED,,0,,,,,,,,,
H14,,IOBM,IO_L49P_0,UNUSED,,0,,,,,,,,,
H15,,,VCCAUX,,,,,,,,2.5,,,,
H16,,,NC,,,,,,,,,,,,
H17,,,NC,,,,,,,,,,,,
H18,ins<3>,IOB,IO_L30P_A21_M1RESET_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
H19,ins<0>,IOB,IO_L30N_A20_M1A11_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
H20,ins<6>,IOB,IO_L33N_A14_M1A4_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
H21,alu_imm_B<13>,IOB,IO_L37P_A7_M1A0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H22,ins<14>,IOB,IO_L37N_A6_M1A1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
J1,,IOBS,IO_L48N_M3BA1_3,UNUSED,,3,,,,,,,,,
J2,,,GND,,,,,,,,,,,,
J3,,IOBM,IO_L48P_M3BA0_3,UNUSED,,3,,,,,,,,,
J4,,IOBM,IO_L51P_M3A10_3,UNUSED,,3,,,,,,,,,
J5,,,VCCO_3,,,3,,,,,2.50,,,,
J6,,IOBM,IO_L55P_M3A13_3,UNUSED,,3,,,,,,,,,
J7,,,NC,,,,,,,,,,,,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCINT,,,,,,,,1.2,,,,
J13,,,GND,,,,,,,,,,,,
J14,,,VCCINT,,,,,,,,1.2,,,,
J15,,,GND,,,,,,,,,,,,
J16,alu_imm_B<8>,IOB,IO_L19P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J17,alu_imm_B<9>,IOB,IO_L19N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
J19,ins<9>,IOB,IO_L33P_A15_M1A10_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
J20,clk_s1,IOB,IO_L39P_M1A3_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J21,,,GND,,,,,,,,,,,,
J22,alu_imm_B<2>,IOB,IO_L39N_M1ODT_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K1,,IOBS,IO_L47N_M3A1_3,UNUSED,,3,,,,,,,,,
K2,,IOBM,IO_L47P_M3A0_3,UNUSED,,3,,,,,,,,,
K3,,IOBS,IO_L46N_M3CLKN_3,UNUSED,,3,,,,,,,,,
K4,,IOBM,IO_L46P_M3CLK_3,UNUSED,,3,,,,,,,,,
K5,,IOBS,IO_L49N_M3A2_3,UNUSED,,3,,,,,,,,,
K6,,IOBM,IO_L49P_M3A7_3,UNUSED,,3,,,,,,,,,
K7,,,NC,,,,,,,,,,,,
K8,,,NC,,,,,,,,,,,,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,,,GND,,,,,,,,,,,,
K13,,,VCCINT,,,,,,,,1.2,,,,
K14,,,GND,,,,,,,,,,,,
K15,,,VCCAUX,,,,,,,,2.5,,,,
K16,,,NC,,,,,,,,,,,,
K17,ins<15>,IOB,IO_L36P_A9_M1BA0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
K18,ins<8>,IOB,IO_L34N_A12_M1BA2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
K19,ins<11>,IOB,IO_L34P_A13_M1WE_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
K20,alu_imm_B<0>,IOB,IO_L38P_A5_M1CLK_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K21,alu_imm_B<3>,IOB,IO_L41P_GCLK9_IRDY1_M1RASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K22,alu_imm_B<6>,IOB,IO_L41N_GCLK8_M1CASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L1,,IOBS,IO_L41N_GCLK26_M3DQ5_3,UNUSED,,3,,,,,,,,,
L2,,,VCCO_3,,,3,,,,,2.50,,,,
L3,,IOBM,IO_L41P_GCLK27_M3DQ4_3,UNUSED,,3,,,,,,,,,
L4,,IOBS,IO_L44N_GCLK20_M3A6_3,UNUSED,,3,,,,,,,,,
L5,,,GND,,,,,,,,,,,,
L6,,IOBS,IO_L45N_M3ODT_3,UNUSED,,3,,,,,,,,,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,VCCAUX,,,,,,,,2.5,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,
L15,,,NC,,,,,,,,,,,,
L16,,,VCCO_1,,,1,,,,,2.50,,,,
L17,ins<12>,IOB,IO_L36N_A8_M1BA1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,YES,NONE,
L18,,,GND,,,,,,,,,,,,
L19,alu_imm_B<15>,IOB,IO_L38N_A4_M1CLKN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L20,alu_Z,IOB,IO_L43P_GCLK5_M1DQ4_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,YES,NONE,
L21,,,VCCO_1,,,1,,,,,2.50,,,,
L22,alu_C,IOB,IO_L43N_GCLK4_M1DQ5_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,YES,NONE,
M1,,IOBS,IO_L40N_M3DQ7_3,UNUSED,,3,,,,,,,,,
M2,,IOBM,IO_L40P_M3DQ6_3,UNUSED,,3,,,,,,,,,
M3,,IOBM,IO_L44P_GCLK21_M3A5_3,UNUSED,,3,,,,,,,,,
M4,,IOBS,IO_L43N_GCLK22_IRDY2_M3CASN_3,UNUSED,,3,,,,,,,,,
M5,,IOBM,IO_L43P_GCLK23_M3RASN_3,UNUSED,,3,,,,,,,,,
M6,,IOBM,IO_L45P_M3A3_3,UNUSED,,3,,,,,,,,,
M7,mem_addr<2>,IOB,IO_L31P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M8,mem_addr<6>,IOB,IO_L31N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M9,,,VCCINT,,,,,,,,1.2,,,,
M10,,,GND,,,,,,,,,,,,
M11,,,VCCINT,,,,,,,,1.2,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,,,GND,,,,,,,,,,,,
M15,,,VCCAUX,,,,,,,,2.5,,,,
M16,,,NC,,,,,,,,,,,,
M17,pc_ext<11>,IOB,IO_L61P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M18,pc_ext<13>,IOB,IO_L61N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M19,alu_imm_B<4>,IOB,IO_L40N_GCLK10_M1A6_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M20,alu_imm_B<1>,IOB,IO_L40P_GCLK11_M1A5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M21,tb_step<0>,IOB,IO_L44P_A3_M1DQ6_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M22,timer_en,IOB,IO_L44N_A2_M1DQ7_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N1,,IOBS,IO_L39N_M3LDQSN_3,UNUSED,,3,,,,,,,,,
N2,,,GND,,,,,,,,,,,,
N3,rf_addr<2>,IOB,IO_L39P_M3LDQS_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,YES,NONE,
N4,clk,IOB,IO_L42N_GCLK24_M3LDM_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N5,,,VCCO_3,,,3,,,,,2.50,,,,
N6,,,NC,,,,,,,,,,,,
N7,,,NC,,,,,,,,,,,,
N8,,,VCCAUX,,,,,,,,2.5,,,,
N9,,,GND,,,,,,,,,,,,
N10,,,VCCINT,,,,,,,,1.2,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,GND,,,,,,,,,,,,
N14,,,VCCINT,,,,,,,,1.2,,,,
N15,,,NC,,,,,,,,,,,,
N16,pc_ext<14>,IOB,IO_L60P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N17,,,GND,,,,,,,,,,,,
N18,,,VCCO_1,,,1,,,,,2.50,,,,
N19,alu_imm_B<5>,IOB,IO_L42N_GCLK6_TRDY1_M1LDM_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N20,rst_n,IOB,IO_L45P_A1_M1LDQS_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N21,,,GND,,,,,,,,,,,,
N22,step,IOB,IO_L45N_A0_M1LDQSN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P1,clk_s0,IOB,IO_L38N_M3DQ3_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P2,rf_addr<0>,IOB,IO_L38P_M3DQ2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,YES,NONE,
P3,,IOBM,IO_L42P_GCLK25_TRDY2_M3UDM_3,UNUSED,,3,,,,,,,,,
P4,mem_addr<5>,IOB,IO_L9N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
